puntaje	puntaje_centrada	resultado_promedio	resultado_mat	resultado_lect	pct_bl	tam_curso	prom_exp_doc	n_doc_ft	cohorte	tratamiento
108	8	-0,397434175	-0,569808915	-0,225059463	20,48999977	20,40909004	15,92000008	22	2005	0
108	8	-0,263639003	-0,385323471	-0,141954562	24,44000053	20,33333397	11,58333302	33	2005	0
108	8	0,324992001	0,661430897	-0,011446866	0,100000001	20,23077011	14,96491241	52	2007	0
108	8	0,12970528	-0,135666538	0,395077106	17,09000015	20,21212196	13,02564144	33	2008	0
108	8	-1,267671824	-1,142315375	-1,393028335	15,15999985	20,1764698	13,64864826	34	2005	0
108	8	-0,675170541	-0,974072671	-0,376268379	16,28000069	20,12605095	16,36000061	23,80000001	2008	0
108	8	0,389132679	0,962222382	-0,183957039	1,340000033	20,07317162	8,666666985	41	2007	0
108	8	-0,115846597	-0,164743048	-0,066950139	8,890000343	20	12,68571472	29,25	2007	0
108	8	0,755639672	1,300713066	0,210566225	2,779999971	19,97222137	14,38461494	36	2007	0
108	8	-0,383605182	-0,7422627	-0,024947662	6,730000019	19,96875	13,3684206	32	2008	0
108	8	-1,223662972	-1,33181401	-1,115511971	10,81999969	19,9375	11,83333302	32	2005	0
108	8	-0,414735615	-0,453502874	-0,375968361	13,60999966	19,9180584	10,58333302	31,73000002	2005	0
108	8	1,037569046	1,336540674	0,738597362	0,109999999	19,9148941	15,88000011	47	2009	0
108	8	0,447739869	0,718915492	0,17656422	0	19,89999962	16,65454483	50	2008	0
108	8	-0,75013417	-0,359254875	-1,141013474	1,830000043	19,80850983	11,62745094	47	2005	0
108	8	-1,198259354	-1,213502693	-1,183015951	2,299999952	19,78787804	13,63636398	33	2006	0
108	8	0,084797129	0,32654971	-0,156955447	0,50999999	19,63333321	13,1875	30	2007	0
108	8	0,177246019	0,476945453	-0,122453412	1,929999948	19,57777786	12,38775539	45	2006	0
108	8	-1,393229961	-1,570441921	-1,216017897	12,47999954	19,55882263	13,24324322	34	2006	0
108	8	-0,987981081	-0,812447379	-1,163514801	1,320000052	19,48571396	13,38888931	35	2005	0
108	8	0,423953623	0,782549602	0,065357663	2,920000076	19,43243217	13,38461494	37	2006	0
108	8	1,020157576	1,53573148	0,504583563	2,339999914	19,39393997	14,05882359	33	2008	0
108	8	-0,858451724	-0,989914355	-0,72698906	8,5	19,35483932	13,0882349	31	2009	0
108	8	-0,485679209	-0,134262845	-0,837095553	2,789999962	19,35135078	15,94871807	37	2005	0
108	8	1,189962626	1,57082382	0,80910152	1,25999999	19,34146309	11,09523773	41	2009	0
108	8	-0,892739832	-1,017988227	-0,767491449	9,579999924	19,30303001	12,51351357	33	2008	0
108	8	1,092200398	1,565810628	0,618590286	2,670000076	19,27272797	14,77142811	33	2009	0
108	8	-1,232298732	-1,242579203	-1,222018251	9,340000153	19,20588303	12,4594593	34	2007	0
108	8	0,800827324	1,289082462	0,312572241	0,560000002	19,0714283	10,06896591	28	2008	0
108	8	-0,291576356	-0,529703384	-0,053449343	18,65999985	19,05555534	12,27499962	36	2007	0
108	8	-0,125276044	0,084913884	-0,335465973	16,75	19,04761887	12,31999969	21,00000004	2006	0
108	8	-0,258201361	0,149082734	-0,665485434	1	18,78125	12,94285679	32	2006	0
108	8	0,301484168	0,656417706	-0,053449343	1,100000024	18,76470566	13,81081104	34	2009	0
108	8	0,001235463	0,282433626	-0,2799627	1,519999981	18,76190567	13,347826	42	2007	0
108	8	-0,620919287	-0,586853766	-0,654984814	10,18999958	18,72727203	12,8648653	33	2006	0
108	8	0,710636973	1,300713066	0,120560918	1,409999967	18,71052551	8,051281929	38	2006	0
108	8	0,871518314	1,239953186	0,503083475	1,549999952	18,69879532	9,022727013	41,5	2008	0
108	8	0,372546583	0,896048255	-0,150955093	1,49000001	18,68354416	12,930233	39,5	2008	0
108	8	-0,99483484	-1,087170269	-0,90249941	8,289999962	18,63636398	12,8648653	33	2007	0
108	8	-0,262257218	-0,088542539	-0,4359719	14,52999973	18,45454597	10,96153831	22,00000006	2007	0
108	8	-0,093991958	0,109979841	-0,297963762	8,229999542	18,4375	12,9629631	22,40000004	2009	0
108	8	0,325523078	0,763298947	-0,112252811	1,190000057	18,4146347	7,833333492	41	2005	0
108	8	-0,128211558	0,329557625	-0,585980745	23,87000084	18,125	12,88461494	20,80000009	2005	0
108	8	-0,676533103	-0,284057004	-1,069009228	1,460000038	18,05660439	12,1964283	53	2005	0
108	8	0,158017918	0,300481115	0,015554726	12,43999958	17,52136803	11,6785717	23,40000005	2008	0
108	8	0,858045757	1,067499402	0,648592055	0,620000005	17,25	9,903225899	28	2009	0
108	8	0,347498	0,120808335	0,574187667	13,69999981				2010	0
108	8	0,396638095	0,227489048	0,565787172	9,470000267				2011	0
108	8	1,389804959	1,400174784	1,379435151	10,76000023				2010	0
108	8	1,475404859	1,396164231	1,554645483	9,130000114				2011	0
108	8	0,878359914	0,922116851	0,834603024	0,620000005				2010	0
108	8	1,286615252	1,257399092	1,315831401	0,529999971				2011	0
108	8	0,334113598	0,561167069	0,107060122	2				2010	0
108	8	0,919050813	1,263013867	0,575087721	1,899999976				2011	0
108	8	0,833974123	0,88334817	0,784600075	0				2010	0
108	8	0,405741453	0,462908517	0,348574363	0,189999998				2011	0
108	8	1,167050123	1,445494034	0,888606208	1,200000048				2010	0
108	8	0,801698446	1,188818634	0,414578256	0,670000017				2011	0
108	8	0,184473053	0,264386137	0,104559974	17,95000076				2010	0
108	8	0,497438461	0,482292857	0,512584035	19,60000038				2011	0
108	8	0,828153372	0,958211829	0,698094974	7,510000229				2010	0
108	8	0,816264868	1,045441359	0,587088428	17,51000023				2011	0
108	8	0,358413488	0,015731843	0,701095151	3,269999981				2010	0
